sentence,intention
rentrer sa plante à l'intérieur en hiver,temperature
sortir la plante dehors en été,temperature
l'air est très humide dans la chambre,temperature
il fait humide,temperature
l'été est sec,temperature
laisser la plante sur le balcon,temperature
ma plante supporte-t-elle la neige ?,temperature
chauffer la plante,temperature
dois je réchauffer ma plante ?,temperature
refroidir la plante,temperature
comment puis-je refroidir ma plante ?,temperature
garder sa plante entre combien et combien de degrés °C,temperature
à combien de degrés dois-je garder ma plante?,temperature
J'aimerais offrir une plante à ma grand-mère,cadeaux
Je veux offrir une plante ,cadeaux
Je veux offrir une plante à ma fille,cadeaux
Je veux offrir une plante à mon fils,cadeaux
Je veux offrir une plante à mon grand père,cadeaux
Je veux offrir une plante à un membre de ma famille,cadeaux
J'aimerais offrir une plante à un ami,cadeaux
Quelle plante offrir en cadeau ?,cadeaux
Je veux offrir une plante en cadeau,cadeaux
J'aimerais faire cadeau d'une plante,cadeaux
Quelle type de plante offrir à ma femme ?,cadeaux
J'aimerais faire un cadeau,cadeaux
Je veux acheter une plante comme cadeau,cadeaux
J'aimerais acheter une plante en cadeau,cadeaux
J'ai besoin d'une idée cadeau,cadeaux
Idée cadeau,cadeaux
Proposez moi une idée cadeau,cadeaux
quelle plante ressemble à la mienne ,varietes
existe-t-il des plantes plus grandes,varietes
famille de plantes,varietes
race ,varietes
différentes variétés de ma plante,varietes
choisir la meilleure variété ,varietes
meilleure type de plante ,varietes
plante semblable à la mienne ,varietes
quelle race est la plus adaptée,varietes
même sorte de plante,varietes
ressembler à ma plante,varietes
autres arbres comme le mien,varietes
autres fleurs qui ressemblent à la mienne,varietes
autres plantes de la même couleur ,varietes
autres arbustes de la même forme,varietes
variétés d'arbres en fonction de la saison,varietes
variétés d'arbustes,varietes
types de fleurs,varietes
race de végétaux,varietes
classement des variétés,varietes
comment bien m'occuper de ma plante,entretien
bien entretenir ma fleur,entretien
conseils d'entretien de mes végétaux,entretien
ma plante a-t-elle besoin de quelque chose,entretien
ma plante a besoin d'un tuteur,entretien
comment faire pour que ma plante pousse correctement,entretien
je veux que ma plante grandisse beaucoup,entretien
que veux ma plante ,entretien
s'occuper de ma plante,entretien
faut-il nettoyer mes plantes,entretien
mes plantes ont besoin de nettoyage,entretien
comment bien nettoyer mon arbre,entretien
comment bien installer un tuteur sur ma plante,entretien
ma plante a besoin de beaucoup d'attention ,entretien
peu d'entretien nécessaire,entretien
comment faire pour que ma plante vive plus longtemps,entretien
ma plante est en train de mourir,entretien
ma plante ne pousse pas bien,entretien
enlever la poussière des feuilles,entretien
faut-il enlever les fleurs fanées,entretien
conseils généraux pour la plante,entretien
où vit ma plante à l'état sauvage,utilisation
je peux trouver ma plante dans la forêt,utilisation
à quoi sert ma plante,utilisation
ma plantes a-t-elles des vertues médicinales,utilisation
se soigner avec ma plante,utilisation
est-ce que je peux manger ma plante,utilisation
manger les feuilles ,utilisation
manger les fleurs,utilisation
utiliser ma planter,utilisation
quelle est l'histoire de ma plante,utilisation
origine de ma plante,utilisation
où ma plante est-elle apparue,utilisation
est-ce que ma plante se mange,utilisation
peut-on faire du thé avec ma plante,utilisation
faire des infusions,utilisation
ma plante a des propriétés spéciales,utilisation
où ma plante est-elle utilisée,utilisation
dans quel pays ma plante pousse,utilisation
à quoi sert ma plante,utilisation
est-ce que ma plante pousse dans la forêt ?,utilisation
à quoi ma plante peut servir ?,utilisation
est-ce que les feuilles de ma plante se mangent ?,utilisation
est-ce que les fleurs de ma plante se mangent ?,utilisation
comment puis-je utiliser ma plante ?,utilisation
raconte moi l'histoire de ma plante,utilisation
quelle est l'origine de ma plante,utilisation
où est apparue ma plante ?,utilisation
puis-je manger ma plante ,utilisation
puis-je utiliser les feuilles de ma plante pour faire du thé,utilisation
puis-je utiliser les feuilles de ma plante pour faire de l'infusion,utilisation
quelles sont les propriétés de ma plante,utilisation
dans quel pays ou région je peux trouver ma plante,utilisation
Quels produits dois-je utiliser ?,planter
je dois mettre du terreau ?,planter
quel type de terreau utilisé ?,planter
dans quelle zone planter ma plante ?,planter
je dois mettre de l'engrais ?,planter
dois je remuer la terre ?,planter
comment planter ma plante ?,planter
quand planter ma plante ?,planter
où puis je planter ma plante ?,planter
conseils pour planter ma plante,planter
j'ai besoin d'aide pour planter ma plante,planter
planter ,planter
besoin de terreau ?,planter
besoin d'engrais ?,planter
où planter ma plante ?,planter
Il y a t'il un risque d'allergie ?,maladies
il y a des sortes de pucerons sur les feuilles,maladies
puis-je être allergique à ma plante,maladies
ma plante est malade,maladies
ma plante a des pucerons,maladies
pucerons,maladies
comment se débarasser des pucerons,maladies
ma plante ne va pas bien,maladies
je suis allergique,maladies
risque de maladies ?,maladies
comment protéger ma plante ?,maladies
coccinelles,maladies
quelles sont les maladies fréquentes pour ma plante,maladies
maladies,maladies
comment protéger ma plante des différentes maladies,maladies
ma plante a été contaminée,maladies
ma plante a l'air malade,maladies
dois je utiliser des coccinelles ?,maladies
raconte moi une anecdote sur ma plante,anecdotes
anecdote sur ma plante,anecdotes
j'aime les anecdotes,anecdotes
j'adore les anecdotes,anecdotes
je veux savoir des anecdotes,anecdotes
donne moi des anecdotes,anecdotes
quels sont les trucs cool à savoir sur ma plante?,anecdotes
dis moi des trucs cool à savoir sur ma plante?,anecdotes
raconte moi des trucs cool à savoir sur ma plante?,anecdotes
